date,warehouse_id,shift_id,month,weekday,base_volume,monthly_multiplier,weekday_multiplier,shift_share,expected_volume,volume,shipments,base_workers,shift_worker_multiplier,workers,labor_hours,Productivity,base_productivity,shift_productivity_multiplier,expected_productivity,capacity,productivity,utilization,utilization_perct,backlog,units_procced,utilization_factor,error_rate,errors,errors_percet,backlog_factor,on_time_rate,on_time_ships,late_shipments,on_time_ships_percet
2025-01-01,WH04,S2,1,2,3800,0.85,1.0,0.35,1130,1103,8824,23,0.95,22,176,6.267045454545454,82,1.0,82.0,14432,50.14,0.6114190687361419,61.14,0,8824,1.0,0.008848173376486392,78,0.88,1.0,0.9669360773845141,8532,292,96.69
2025-01-01,WH04,S3,1,2,3800,0.85,1.0,0.25,808,786,6288,23,0.75,17,136,5.779411764705882,82,0.85,69.7,9479,46.24,0.6633611140415656,66.34,0,6288,1.0,0.007692906385054035,48,0.76,1.0,0.9712783950469038,6107,181,97.13
2025-01-01,WH05,S1,1,2,3000,0.85,1.0,0.4,1020,931,7448,18,1.0,18,144,6.465277777777778,70,1.05,73.5,10584,51.72,0.7037037037037037,70.37,0,7448,1.0,0.010289409419939013,77,1.03,1.0,0.9529041992543933,7097,351,95.29
2025-01-01,WH05,S2,1,2,3000,0.85,1.0,0.35,892,858,6864,18,0.95,17,136,6.3088235294117645,70,1.0,70.0,9520,50.47,0.7210084033613445,72.1,0,6864,1.0,0.00946871072410524,65,0.95,1.0,0.9454248412774182,6489,375,94.54
2025-01-01,WH05,S3,1,2,3000,0.85,1.0,0.25,638,664,5312,18,0.75,14,112,5.928571428571429,70,0.85,59.5,6664,47.43,0.7971188475390156,79.71,0,15936,1.0,0.0070780331742301104,38,0.72,1.0,0.9578413074066894,5088,224,95.78
2025-01-02,WH01,S1,1,3,4200,0.85,1.05,0.4,1499,1358,10864,25,1.0,25,200,6.79,85,1.05,89.25,17850,54.32,0.6086274509803922,60.86,0,10864,1.0,0.0071418716086871685,78,0.72,1.0,0.9569008210212427,10396,468,95.69
2025-01-02,WH01,S2,1,3,4200,0.85,1.05,0.35,1312,1314,10512,25,0.95,24,192,6.84375,85,1.0,85.0,16320,54.75,0.6441176470588236,64.41,0,21024,1.0,0.00840256631909302,88,0.84,1.0,0.9580839137747189,10071,441,95.81
2025-01-02,WH01,S3,1,3,4200,0.85,1.05,0.25,937,991,7928,25,0.75,19,152,6.519736842105263,85,0.85,72.25,10982,52.16,0.7219085776725551,72.19,0,7928,1.0,0.00689752756582965,55,0.69,1.0,0.9638179968262359,7641,287,96.38
2025-01-02,WH02,S1,1,3,5000,0.85,1.05,0.4,1785,1662,13296,30,1.0,30,240,6.925,90,1.05,94.5,22680,55.4,0.5862433862433862,58.62,0,26592,1.0,0.009576618700548316,127,0.96,1.0,0.9589544669931288,12750,546,95.9
2025-01-02,WH02,S2,1,3,5000,0.85,1.05,0.35,1562,1458,11664,30,0.95,28,224,6.508928571428571,90,1.0,90.0,20160,52.07,0.5785714285714286,57.86,0,23328,1.0,0.006499161463351135,76,0.65,1.0,0.960083408569527,11198,466,96.01
2025-01-02,WH02,S3,1,3,5000,0.85,1.05,0.25,1116,1103,8824,30,0.75,22,176,6.267045454545454,90,0.85,76.5,13464,50.14,0.655377302436126,65.54,0,8824,1.0,0.007882433631189631,70,0.79,1.0,0.9579153161641296,8453,371,95.79
2025-01-02,WH03,S1,1,3,3500,0.85,1.05,0.4,1250,1320,10560,20,1.0,20,160,8.25,75,1.05,78.75,12600,66.0,0.8380952380952381,83.81,0,21120,1.0,0.009162723639682633,97,0.92,1.0,0.9637090127763793,10177,383,96.37
2025-01-02,WH03,S2,1,3,3500,0.85,1.05,0.35,1093,1069,8552,20,0.95,19,152,7.032894736842105,75,1.0,75.0,11400,56.26,0.7501754385964913,75.02,0,17104,1.0,0.008477819467991452,73,0.85,1.0,0.9733823469519413,8324,228,97.34
2025-01-02,WH03,S3,1,3,3500,0.85,1.05,0.25,781,845,6760,20,0.75,15,120,7.041666666666667,75,0.85,63.75,7650,56.33,0.8836601307189542,88.37,0,6760,1.4,0.008765697070853683,59,0.87,1.0,0.9691576148893581,6552,208,96.92
2025-01-02,WH04,S1,1,3,3800,0.85,1.05,0.4,1357,1265,10120,23,1.0,23,184,6.875,82,1.05,86.10000000000001,15842,55.0,0.6388082312839288,63.88,0,20240,1.0,0.010581265742964563,107,1.06,1.0,0.9779529427424886,9897,223,97.8
2025-01-02,WH04,S2,1,3,3800,0.85,1.05,0.35,1187,1125,9000,23,0.95,22,176,6.392045454545454,82,1.0,82.0,14432,51.14,0.6236141906873615,62.36,0,9000,1.0,0.00966896020133305,87,0.97,1.0,0.9617663728762577,8656,344,96.18
2025-01-02,WH04,S3,1,3,3800,0.85,1.05,0.25,848,717,5736,23,0.75,17,136,5.272058823529412,82,0.85,69.7,9479,42.18,0.6051271231142525,60.51,0,11472,1.0,0.007704648371249022,44,0.77,1.0,0.9585790819224924,5498,238,95.86
2025-01-02,WH05,S1,1,3,3000,0.85,1.05,0.4,1071,1039,8312,18,1.0,18,144,7.215277777777778,70,1.05,73.5,10584,57.72,0.7853363567649282,78.53,0,8312,1.0,0.006495554757819384,54,0.65,1.0,0.9366985345211037,7786,526,93.67
2025-01-02,WH05,S2,1,3,3000,0.85,1.05,0.35,937,910,7280,18,0.95,17,136,6.6911764705882355,70,1.0,70.0,9520,53.53,0.7647058823529411,76.47,0,7280,1.0,0.008992928201684578,65,0.89,1.0,0.9584752469284189,6978,302,95.85
2025-01-02,WH05,S3,1,3,3000,0.85,1.05,0.25,669,636,5088,18,0.75,14,112,5.678571428571429,70,0.85,59.5,6664,45.43,0.7635054021608644,76.35,0,15264,1.0,0.006449191430034072,33,0.65,1.0,0.9423456753985373,4795,293,94.23
2025-01-03,WH01,S1,1,4,4200,0.85,1.1,0.4,1571,1927,15416,25,1.0,25,200,9.635,85,1.05,89.25,17850,77.08,0.863641456582633,86.36,0,15416,1.4,0.010149682016164004,156,1.01,1.0,0.9584986570631362,14776,640,95.85
2025-01-03,WH01,S2,1,4,4200,0.85,1.1,0.35,1374,1304,10432,25,0.95,24,192,6.791666666666667,85,1.0,85.0,16320,54.33,0.6392156862745098,63.92,0,10432,1.0,0.008858933563602624,92,0.88,1.0,0.9762494296645242,10184,248,97.62
2025-01-03,WH01,S3,1,4,4200,0.85,1.1,0.25,982,895,7160,25,0.75,19,152,5.8881578947368425,85,0.85,72.25,10982,47.11,0.651975960662903,65.2,0,7160,1.0,0.0057639476288789205,41,0.57,1.0,0.9594130958484544,6869,291,95.94
2025-01-03,WH02,S1,1,4,5000,0.85,1.1,0.4,1870,1633,13064,30,1.0,30,240,6.804166666666666,90,1.05,94.5,22680,54.43,0.5760141093474427,57.6,0,39192,1.0,0.008430891360993998,110,0.84,1.0,0.9624364613851386,12573,491,96.24
2025-01-03,WH02,S2,1,4,5000,0.85,1.1,0.35,1636,2093,16744,30,0.95,28,224,9.34375,90,1.0,90.0,20160,74.75,0.8305555555555556,83.06,0,16744,1.0,0.007765553656843681,130,0.78,1.0,0.9385518350153675,15715,1029,93.86
2025-01-03,WH02,S3,1,4,5000,0.85,1.1,0.25,1169,1200,9600,30,0.75,22,176,6.818181818181818,90,0.85,76.5,13464,54.55,0.7130124777183601,71.3,0,19200,1.0,0.0067018724502162725,64,0.67,1.0,0.9718483941530072,9330,270,97.18
2025-01-03,WH03,S1,1,4,3500,0.85,1.1,0.4,1309,1360,10880,20,1.0,20,160,8.5,75,1.05,78.75,12600,68.0,0.8634920634920635,86.35,0,21760,1.4,0.011578406289180868,126,1.16,1.0,0.9877268594858235,10746,134,98.77
2025-01-03,WH03,S2,1,4,3500,0.85,1.1,0.35,1145,1050,8400,20,0.95,19,152,6.907894736842105,75,1.0,75.0,11400,55.26,0.7368421052631579,73.68,0,16800,1.0,0.007243805722494277,61,0.73,1.0,0.9574598575012103,8043,357,95.75
2025-01-03,WH03,S3,1,4,3500,0.85,1.1,0.25,818,821,6568,20,0.75,15,120,6.841666666666667,75,0.85,63.75,7650,54.73,0.858562091503268,85.86,0,13136,1.4,0.01229083798715206,81,1.23,1.0,0.9607869846499258,6310,258,96.08
2025-01-03,WH04,S1,1,4,3800,0.85,1.1,0.4,1421,1481,11848,23,1.0,23,184,8.048913043478262,82,1.05,86.10000000000001,15842,64.39,0.7478853680090898,74.79,0,11848,1.0,0.006286099851276038,74,0.62,1.0,0.960821714742034,11384,464,96.08
2025-01-03,WH04,S2,1,4,3800,0.85,1.1,0.35,1244,1269,10152,23,0.95,22,176,7.2102272727272725,82,1.0,82.0,14432,57.68,0.7034368070953437,70.34,0,10152,1.0,0.00982118049554551,100,0.99,1.0,0.9590406209564812,9736,416,95.9
2025-01-03,WH04,S3,1,4,3800,0.85,1.1,0.25,888,846,6768,23,0.75,17,136,6.220588235294118,82,0.85,69.7,9479,49.76,0.7139993670218377,71.4,0,13536,1.0,0.006725352193880742,46,0.68,1.0,0.9648311753690514,6530,238,96.48
2025-01-03,WH05,S1,1,4,3000,0.85,1.1,0.4,1122,1206,9648,18,1.0,18,144,8.375,70,1.05,73.5,10584,67.0,0.9115646258503401,91.16,0,9648,1.4,0.008951066650179456,86,0.89,1.0,0.946202440756453,9129,519,94.62
2025-01-03,WH05,S2,1,4,3000,0.85,1.1,0.35,982,1077,8616,18,0.95,17,136,7.919117647058823,70,1.0,70.0,9520,63.35,0.9050420168067227,90.5,0,8616,1.4,0.011278753922991668,97,1.13,1.0,0.9661729661268131,8325,291,96.62
2025-01-03,WH05,S3,1,4,3000,0.85,1.1,0.25,701,544,4352,18,0.75,14,112,4.857142857142857,70,0.85,59.5,6664,38.86,0.6530612244897959,65.31,0,4352,1.0,0.008353015812536004,36,0.83,1.0,0.9574871621086797,4167,185,95.75
2025-01-04,WH01,S1,1,5,4200,0.85,0.65,0.4,928,902,7216,25,1.0,25,200,4.51,85,1.05,89.25,17850,36.08,0.4042577030812325,40.43,0,7216,1.0,0.00817329920533421,59,0.82,1.0,0.9668925799778175,6977,239,96.69
2025-01-04,WH01,S2,1,5,4200,0.85,0.65,0.35,812,673,5384,25,0.95,24,192,3.5052083333333335,85,1.0,85.0,16320,28.04,0.3299019607843137,32.99,0,5384,1.0,0.008088231726052676,44,0.82,1.0,0.930288834598688,5009,375,93.03
2025-01-04,WH01,S3,1,5,4200,0.85,0.65,0.25,580,497,3976,25,0.75,19,152,3.2697368421052633,85,0.85,72.25,10982,26.16,0.36204698597705337,36.2,0,3976,1.0,0.007929998455492731,32,0.8,1.0,0.9550113118924812,3797,179,95.5
2025-01-04,WH02,S1,1,5,5000,0.85,0.65,0.4,1105,1226,9808,30,1.0,30,240,5.108333333333333,90,1.05,94.5,22680,40.87,0.43245149911816577,43.25,0,9808,1.0,0.009613240342039614,94,0.96,1.0,0.9588906460341924,9405,403,95.89
2025-01-04,WH02,S2,1,5,5000,0.85,0.65,0.35,967,1156,9248,30,0.95,28,224,5.160714285714286,90,1.0,90.0,20160,41.29,0.4587301587301587,45.87,0,18496,1.0,0.008251916783308805,76,0.82,1.0,0.956081714547077,8842,406,95.61
2025-01-04,WH02,S3,1,5,5000,0.85,0.65,0.25,691,705,5640,30,0.75,22,176,4.005681818181818,90,0.85,76.5,13464,32.05,0.41889483065953653,41.89,0,5640,1.0,0.008592327438966742,48,0.85,1.0,0.9496689918500895,5356,284,94.97
2025-01-04,WH03,S1,1,5,3500,0.85,0.65,0.4,774,752,6016,20,1.0,20,160,4.7,75,1.05,78.75,12600,37.6,0.4774603174603175,47.75,0,12032,1.0,0.008338726061317452,50,0.83,1.0,0.9485505324270214,5706,310,94.86
2025-01-04,WH03,S2,1,5,3500,0.85,0.65,0.35,677,566,4528,20,0.95,19,152,3.723684210526316,75,1.0,75.0,11400,29.79,0.3971929824561404,39.72,0,4528,1.0,0.006158762014619548,28,0.62,1.0,0.9592526231937405,4343,185,95.93
2025-01-04,WH03,S3,1,5,3500,0.85,0.65,0.25,483,503,4024,20,0.75,15,120,4.191666666666666,75,0.85,63.75,7650,33.53,0.5260130718954248,52.6,0,4024,1.0,0.0073826693975235416,30,0.75,1.0,0.9426242875127313,3793,231,94.26
2025-01-04,WH04,S1,1,5,3800,0.85,0.65,0.4,840,925,7400,23,1.0,23,184,5.0271739130434785,82,1.05,86.10000000000001,15842,40.22,0.4671127382906199,46.71,0,7400,1.0,0.008763980179189891,65,0.88,1.0,0.9608749886674378,7110,290,96.09
2025-01-04,WH04,S2,1,5,3800,0.85,0.65,0.35,735,697,5576,23,0.95,22,176,3.960227272727273,82,1.0,82.0,14432,31.68,0.38636363636363635,38.64,0,11152,1.0,0.008551657610592218,48,0.86,1.0,0.9540326462019103,5320,256,95.4
2025-01-04,WH04,S3,1,5,3800,0.85,0.65,0.25,525,547,4376,23,0.75,17,136,4.022058823529412,82,0.85,69.7,9479,32.18,0.4616520730034814,46.17,0,13128,1.0,0.00819561434386351,36,0.82,1.0,0.9611389058616441,4206,170,96.11
2025-01-04,WH05,S1,1,5,3000,0.85,0.65,0.4,663,625,5000,18,1.0,18,144,4.340277777777778,70,1.05,73.5,10584,34.72,0.47241118669690096,47.24,0,10000,1.0,0.008220826857921658,41,0.82,1.0,0.9605579945981676,4803,197,96.06
2025-01-04,WH05,S2,1,5,3000,0.85,0.65,0.35,580,648,5184,18,0.95,17,136,4.764705882352941,70,1.0,70.0,9520,38.12,0.5445378151260504,54.45,0,10368,1.0,0.008095829801440978,42,0.81,1.0,0.951121946952731,4931,253,95.11
2025-01-04,WH05,S3,1,5,3000,0.85,0.65,0.25,414,417,3336,18,0.75,14,112,3.7232142857142856,70,0.85,59.5,6664,29.79,0.5006002400960384,50.06,0,6672,1.0,0.00744883331598889,25,0.75,1.0,0.9575235519614115,3194,142,95.75
2025-01-05,WH01,S1,1,6,4200,0.85,0.55,0.4,785,645,5160,25,1.0,25,200,3.225,85,1.05,89.25,17850,25.8,0.28907563025210087,28.91,0,5160,1.0,0.006582585496407331,34,0.66,1.0,0.9607597329321739,4958,202,96.08
2025-01-05,WH01,S2,1,6,4200,0.85,0.55,0.35,687,640,5120,25,0.95,24,192,3.3333333333333335,85,1.0,85.0,16320,26.67,0.3137254901960784,31.37,0,10240,1.0,0.008220164915807565,42,0.82,1.0,0.9690373507572994,4961,159,96.9
2025-01-05,WH01,S3,1,6,4200,0.85,0.55,0.25,491,452,3616,25,0.75,19,152,2.973684210526316,85,0.85,72.25,10982,23.79,0.3292660717537789,32.93,0,3616,1.0,0.009110466170109974,33,0.91,1.0,0.9652032235168411,3490,126,96.52
2025-01-05,WH02,S1,1,6,5000,0.85,0.55,0.4,935,1040,8320,30,1.0,30,240,4.333333333333333,90,1.05,94.5,22680,34.67,0.36684303350970016,36.68,0,8320,1.0,0.00826363401830997,69,0.83,1.0,0.9530682398145164,7930,390,95.31
2025-01-05,WH02,S2,1,6,5000,0.85,0.55,0.35,818,865,6920,30,0.95,28,224,3.861607142857143,90,1.0,90.0,20160,30.89,0.34325396825396826,34.33,0,6920,1.0,0.009136692717740997,63,0.91,1.0,0.951428292006358,6584,336,95.14
2025-01-05,WH02,S3,1,6,5000,0.85,0.55,0.25,584,656,5248,30,0.75,22,176,3.727272727272727,90,0.85,76.5,13464,29.82,0.3897801544860368,38.98,0,5248,1.0,0.008773754325606177,46,0.88,1.0,0.9607084395892482,5042,206,96.07
2025-01-05,WH03,S1,1,6,3500,0.85,0.55,0.4,655,671,5368,20,1.0,20,160,4.19375,75,1.05,78.75,12600,33.55,0.42603174603174604,42.6,0,5368,1.0,0.007752717160125948,42,0.78,1.0,0.9734169696041269,5225,143,97.34
2025-01-05,WH03,S2,1,6,3500,0.85,0.55,0.35,573,474,3792,20,0.95,19,152,3.1184210526315788,75,1.0,75.0,11400,24.95,0.33263157894736844,33.26,0,3792,1.0,0.00911810795997849,35,0.92,1.0,0.9587459988914235,3636,156,95.87
2025-01-05,WH03,S3,1,6,3500,0.85,0.55,0.25,409,412,3296,20,0.75,15,120,3.433333333333333,75,0.85,63.75,7650,27.47,0.43084967320261436,43.08,0,6592,1.0,0.00830067718848873,27,0.82,1.0,0.9572004502141565,3155,141,95.72
2025-01-05,WH04,S1,1,6,3800,0.85,0.55,0.4,711,704,5632,23,1.0,23,184,3.8260869565217392,82,1.05,86.10000000000001,15842,30.61,0.3555106678449691,35.55,0,11264,1.0,0.009271888563540165,52,0.92,1.0,0.9599448662103915,5406,226,95.99
2025-01-05,WH04,S2,1,6,3800,0.85,0.55,0.35,622,575,4600,23,0.95,22,176,3.2670454545454546,82,1.0,82.0,14432,26.14,0.3187361419068736,31.87,0,4600,1.0,0.008125206960571112,37,0.8,1.0,0.9660647124626635,4444,156,96.61
2025-01-05,WH04,S3,1,6,3800,0.85,0.55,0.25,444,507,4056,23,0.75,17,136,3.7279411764705883,82,0.85,69.7,9479,29.82,0.4278932376832999,42.79,0,4056,1.0,0.008849796628542796,36,0.89,1.0,0.9366260610273281,3799,257,93.66
2025-01-05,WH05,S1,1,6,3000,0.85,0.55,0.4,561,518,4144,18,1.0,18,144,3.5972222222222223,70,1.05,73.5,10584,28.78,0.3915343915343915,39.15,0,4144,1.0,0.006228257522207635,26,0.63,1.0,0.9681908701711429,4012,132,96.82
2025-01-05,WH05,S2,1,6,3000,0.85,0.55,0.35,491,424,3392,18,0.95,17,136,3.1176470588235294,70,1.0,70.0,9520,24.94,0.3563025210084034,35.63,0,3392,1.0,0.008571251417821703,29,0.85,1.0,0.9673953350318195,3281,111,96.74
2025-01-05,WH05,S3,1,6,3000,0.85,0.55,0.25,351,324,2592,18,0.75,14,112,2.892857142857143,70,0.85,59.5,6664,23.14,0.38895558223289317,38.9,0,2592,1.0,0.007699147769263477,20,0.77,1.0,0.9548106284712391,2475,117,95.48
2025-01-06,WH01,S1,1,0,4200,0.85,1.05,0.4,1499,1396,11168,25,1.0,25,200,6.98,85,1.05,89.25,17850,55.84,0.6256582633053221,62.57,0,11168,1.0,0.005941117536440461,66,0.59,1.0,0.9618014260738625,10741,427,96.18
2025-01-06,WH01,S2,1,0,4200,0.85,1.05,0.35,1312,1287,10296,25,0.95,24,192,6.703125,85,1.0,85.0,16320,53.62,0.6308823529411764,63.09,0,30888,1.0,0.00863539058688731,89,0.86,1.0,0.9584438717927444,9868,428,95.84
2025-01-06,WH01,S3,1,0,4200,0.85,1.05,0.25,937,959,7672,25,0.75,19,152,6.309210526315789,85,0.85,72.25,10982,50.47,0.6985977053360044,69.86,0,7672,1.0,0.007234196982272308,56,0.73,1.0,0.9585206057013896,7354,318,95.85
2025-01-06,WH02,S1,1,0,5000,0.85,1.05,0.4,1785,1801,14408,30,1.0,30,240,7.504166666666666,90,1.05,94.5,22680,60.03,0.6352733686067019,63.53,0,14408,1.0,0.008756892365648446,126,0.87,1.0,0.9593426418235752,13822,586,95.93
2025-01-06,WH02,S2,1,0,5000,0.85,1.05,0.35,1562,1497,11976,30,0.95,28,224,6.683035714285714,90,1.0,90.0,20160,53.46,0.594047619047619,59.4,0,23952,1.0,0.009518259406180576,114,0.95,1.0,0.9811383944308223,11750,226,98.11
2025-01-06,WH02,S3,1,0,5000,0.85,1.05,0.25,1116,1093,8744,30,0.75,22,176,6.2102272727272725,90,0.85,76.5,13464,49.68,0.649435531788473,64.94,0,8744,1.0,0.007653476843017062,67,0.77,1.0,0.9420243498549433,8237,507,94.2
2025-01-06,WH03,S1,1,0,3500,0.85,1.05,0.4,1250,1308,10464,20,1.0,20,160,8.175,75,1.05,78.75,12600,65.4,0.8304761904761905,83.05,0,20928,1.0,0.008016674165126218,84,0.8,1.0,0.9730500134084277,10182,282,97.31
2025-01-06,WH03,S2,1,0,3500,0.85,1.05,0.35,1093,975,7800,20,0.95,19,152,6.4144736842105265,75,1.0,75.0,11400,51.32,0.6842105263157895,68.42,0,7800,1.0,0.006808255357024281,53,0.68,1.0,0.9466330296078758,7384,416,94.66
2025-01-06,WH03,S3,1,0,3500,0.85,1.05,0.25,781,728,5824,20,0.75,15,120,6.066666666666666,75,0.85,63.75,7650,48.53,0.7613071895424837,76.13,0,11648,1.0,0.010242065187263928,60,1.03,1.0,0.9582869230530626,5581,243,95.83
2025-01-06,WH04,S1,1,0,3800,0.85,1.05,0.4,1357,1532,12256,23,1.0,23,184,8.326086956521738,82,1.05,86.10000000000001,15842,66.61,0.7736396919580861,77.36,0,12256,1.0,0.007339045350456712,90,0.73,1.0,0.9802162724131451,12014,242,98.02
2025-01-06,WH04,S2,1,0,3800,0.85,1.05,0.35,1187,1340,10720,23,0.95,22,176,7.613636363636363,82,1.0,82.0,14432,60.91,0.7427937915742794,74.28,0,10720,1.0,0.00846559381306132,91,0.85,1.0,0.9553181971263898,10241,479,95.53
2025-01-06,WH04,S3,1,0,3800,0.85,1.05,0.25,848,726,5808,23,0.75,17,136,5.338235294117647,82,0.85,69.7,9479,42.71,0.6127228610612934,61.27,0,5808,1.0,0.007217119377537683,42,0.72,1.0,0.9367633262303929,5441,367,93.68
2025-01-06,WH05,S1,1,0,3000,0.85,1.05,0.4,1071,1139,9112,18,1.0,18,144,7.909722222222222,70,1.05,73.5,10584,63.28,0.8609221466364324,86.09,0,9112,1.4,0.009735293464599303,89,0.98,1.0,0.9587620685467979,8736,376,95.88
2025-01-06,WH05,S2,1,0,3000,0.85,1.05,0.35,937,984,7872,18,0.95,17,136,7.235294117647059,70,1.0,70.0,9520,57.88,0.826890756302521,82.69,0,15744,1.0,0.007499797477960979,59,0.75,1.0,0.9499205368452638,7478,394,94.99
2025-01-06,WH05,S3,1,0,3000,0.85,1.05,0.25,669,666,5328,18,0.75,14,112,5.946428571428571,70,0.85,59.5,6664,47.57,0.7995198079231692,79.95,0,5328,1.0,0.006085432706653411,32,0.6,1.0,0.955127578605232,5089,239,95.51
2025-01-07,WH01,S1,1,1,4200,0.85,1.0,0.4,1428,1273,10184,25,1.0,25,200,6.365,85,1.05,89.25,17850,50.92,0.5705322128851541,57.05,0,10184,1.0,0.009387380844866833,96,0.94,1.0,0.9667940563287919,9846,338,96.68
2025-01-07,WH01,S2,1,1,4200,0.85,1.0,0.35,1250,1144,9152,25,0.95,24,192,5.958333333333333,85,1.0,85.0,16320,47.67,0.5607843137254902,56.08,0,9152,1.0,0.006210057572987258,57,0.62,1.0,0.9538622271306534,8730,422,95.39
2025-01-07,WH01,S3,1,1,4200,0.85,1.0,0.25,892,673,5384,25,0.75,19,152,4.427631578947368,85,0.85,72.25,10982,35.42,0.4902567838280823,49.03,0,16152,1.0,0.008847805096776393,48,0.89,1.0,0.974513158701287,5247,137,97.45
2025-01-07,WH02,S1,1,1,5000,0.85,1.0,0.4,1700,1868,14944,30,1.0,30,240,7.783333333333333,90,1.05,94.5,22680,62.27,0.6589065255731923,65.89,0,29888,1.0,0.007419439362554379,111,0.74,1.0,0.9676877888350575,14461,483,96.77
2025-01-07,WH02,S2,1,1,5000,0.85,1.0,0.35,1488,1410,11280,30,0.95,28,224,6.294642857142857,90,1.0,90.0,20160,50.36,0.5595238095238095,55.95,0,33840,1.0,0.006201026929493641,70,0.62,1.0,0.9561190146755328,10785,495,95.61
2025-01-07,WH02,S3,1,1,5000,0.85,1.0,0.25,1062,1050,8400,30,0.75,22,176,5.965909090909091,90,0.85,76.5,13464,47.73,0.6238859180035651,62.39,0,8400,1.0,0.005435671012168204,46,0.55,1.0,0.9641335913375996,8099,301,96.41
2025-01-07,WH03,S1,1,1,3500,0.85,1.0,0.4,1190,1354,10832,20,1.0,20,160,8.4625,75,1.05,78.75,12600,67.7,0.8596825396825397,85.97,0,10832,1.4,0.009457312013669094,102,0.94,1.0,0.950514331814722,10296,536,95.05
2025-01-07,WH03,S2,1,1,3500,0.85,1.0,0.35,1041,979,7832,20,0.95,19,152,6.440789473684211,75,1.0,75.0,11400,51.53,0.6870175438596491,68.7,0,15664,1.0,0.008975279073565988,70,0.89,1.0,0.965834998008456,7564,268,96.58
2025-01-07,WH03,S3,1,1,3500,0.85,1.0,0.25,744,759,6072,20,0.75,15,120,6.325,75,0.85,63.75,7650,50.6,0.7937254901960784,79.37,0,6072,1.0,0.008541834468708402,52,0.86,1.0,0.9572169651865422,5812,260,95.72
2025-01-07,WH04,S1,1,1,3800,0.85,1.0,0.4,1292,1327,10616,23,1.0,23,184,7.211956521739131,82,1.05,86.10000000000001,15842,57.7,0.6701174094180028,67.01,0,21232,1.0,0.007937957353874404,84,0.79,1.0,0.9637132416389365,10231,385,96.37
2025-01-07,WH04,S2,1,1,3800,0.85,1.0,0.35,1130,1159,9272,23,0.95,22,176,6.5852272727272725,82,1.0,82.0,14432,52.68,0.6424611973392461,64.25,0,9272,1.0,0.00816299860900431,76,0.82,1.0,0.9590216609564975,8892,380,95.9
